,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
41,McKesson Corporation ,MCK,50.14,55.54,16.82,13.79,0.44,0.19,5.04,0.2,10.75,0.59,12.0,-7.0,401.78,298.69,355.19,359.9,0.0,0.0,0.14,0.0,0.13,0.0,89.0,0.0,2.11,2.0,2.0,0.0,2.16,1.0,2.02,1.0,0.93,9.0,2.0,1.0,2.0,4.0,0.0,273.9,1906.41,3.0,13.08,4.71,3.15,21.79,0.0,2.77,20.26,8.22,0.0,0.93,-17.93,4.72,4.96,2023-04-02,2023-02-27,1998-01-04,2022-03-30,2022-12-30
42,Public Storage ,PSA,55.21,65.65,13.36,28.65,7.32,13.24,9.65,15.7,12.18,0.44,-23.0,-7.0,421.76,270.13,298.67,304.21,0.0,0.0,0.18,0.0,0.15,13.0,82.0,0.0,4.35,3.0,3.0,0.0,12.0,4.0,8.0,3.0,3.22,34.0,0.0,103.0,52.0,8.0,45.0,4.24,24.19,16.0,3.19,3.08,4.14,23.55,-34.0,0.78,4.41,6.87,67.58,1.54,32.66,3.12,2.23,2023-03-29,2023-03-13,,2022-12-30,2022-12-30
43,Phillips 66 ,PSX,49.07,60.13,4.57,7.18,0.0,0.3,1.66,0.35,3.56,1.36,28.0,-7.0,113.53,74.02,100.85,96.36,0.0,0.0,0.46,0.0,0.46,0.0,75.0,0.01,2.9,2.0,2.0,0.01,4.2,4.0,3.83,4.0,4.17,16.0,0.0,6.0,6.0,9.0,41.0,169.99,360.53,24.0,20.06,11.3,11.01,23.37,48.0,6.13,13.22,18.22,53.41,1.38,63.31,10.81,5.18,2023-02-28,2023-02-16,,2022-12-30,2022-12-30
44,U.S. Bancorp ,USB,54.42,0.0,9.63,7.25,0.97,2.19,1.24,0.0,0.0,1.0,-33.0,-7.0,53.88,32.72,42.33,44.27,0.01,0.01,1.53,0.0,1.53,0.0,77.0,0.03,1.2,2.0,2.0,0.01,1.92,5.0,1.88,5.0,3.34,51.0,3.0,26.0,35.0,1.0,11.0,22.14,14.87,-9.0,22.14,0.0,5.5,3.69,-45.0,55.94,36.54,78.69,0.0,0.0,28.71,21.12,0.0,2023-04-16,2023-03-29,1999-04-15,2022-12-30,2022-12-30
45,"AutoZone, Inc. ",AZO,47.09,56.96,21.1,20.2,1.45,3.0,0.0,3.37,15.17,0.69,20.0,-7.0,2610.05,1703.32,2471.1,2346.16,0.0,0.0,0.02,0.0,0.02,0.0,96.0,0.0,1.68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,19.0,14.0,0.0,16.89,881.5,10.0,8.47,3.75,2.42,122.36,1.0,0.36,19.77,10.17,0.0,0.79,-226.58,3.22,1.86,,,1994-04-20,2022-08-26,2023-02-10
46,"American Electric Power Company, Inc. ",AEP,48.53,88.23,21.01,17.83,3.0,2.47,2.03,4.49,12.42,0.44,-8.0,-7.0,105.6,80.3,90.67,93.85,0.0,0.0,0.51,0.0,0.51,0.0,78.0,0.01,2.21,1.0,1.0,0.01,3.32,4.0,3.17,3.0,3.29,71.0,2.0,12.0,20.0,3.0,10.0,19.64,38.37,20.0,8.41,7.12,2.31,4.49,-29.0,0.7,1.36,40.63,168.41,0.65,46.5,5.29,-3.62,2023-03-09,2023-02-08,1962-10-30,2022-12-30,2022-12-30
47,Dollar General Corporation ,DG,47.9,65.18,20.47,19.42,1.83,1.31,8.64,1.72,16.08,0.33,-13.0,-7.0,262.21,183.25,218.55,238.85,0.0,0.0,0.22,0.0,0.22,0.0,95.0,0.0,2.34,2.0,2.0,0.0,2.36,1.0,2.2,1.0,0.84,21.0,0.0,6.0,9.0,8.0,41.0,37.84,168.09,18.0,11.82,4.06,2.42,10.69,10.0,0.38,1.74,17.66,318.69,1.29,25.29,1.98,-0.25,2023-04-24,2023-04-09,,2023-02-02,2023-02-02
48,Sempra Energy ,SRE,48.69,78.15,23.38,17.27,3.18,3.39,1.86,5.41,17.7,0.73,-10.0,-7.0,176.47,136.54,151.58,156.47,0.0,0.0,0.31,0.0,0.31,0.0,88.0,0.0,2.37,1.0,1.0,0.0,4.76,3.0,4.58,3.0,3.03,69.0,0.0,15.0,17.0,2.0,8.0,14.44,45.81,-10.0,4.58,4.52,2.09,6.62,-27.0,0.37,1.18,29.91,102.22,0.6,83.52,1.14,-5.12,2023-04-14,2023-03-20,,2022-12-30,2022-12-30
49,General Motors Company ,GM,49.38,133.75,5.78,5.76,1.26,0.33,0.73,0.85,5.6,1.37,-14.0,-7.0,43.63,30.33,38.05,37.01,0.02,0.01,1.39,0.0,1.39,0.0,84.0,0.03,1.89,2.0,2.0,0.02,0.36,1.0,0.18,1.0,0.0,3.0,0.0,6.0,8.0,3.0,14.0,156.73,108.47,28.0,21.15,17.82,8.92,6.13,15.0,27.3,19.58,115.91,160.36,1.1,48.42,16.04,-3.1,2023-03-15,2023-03-01,,2022-12-30,2022-12-30
0,"Dominion Energy, Inc. ",D,48.51,95.82,53.78,14.68,10.72,2.79,1.86,5.58,13.31,0.47,-34.0,-7.0,88.13,52.03,56.88,67.34,0.0,0.0,0.84,0.0,0.83,0.0,71.0,0.01,1.4,1.0,1.0,0.01,2.67,5.0,2.67,5.0,4.22,247.0,2.0,6.0,28.0,3.0,4.0,17.17,20.84,27.0,7.92,7.89,0.89,1.08,0.0,0.76,0.91,46.61,167.17,0.73,31.25,3.7,-3.22,2023-03-19,2023-03-01,2007-11-19,2022-12-30,2022-12-30
1,"The PNC Financial Services Group, Inc. ",PNC,48.89,0.0,8.83,8.26,2.75,2.39,1.07,0.0,0.0,1.14,-32.0,-7.0,183.19,118.5,142.94,155.62,0.0,0.0,0.4,0.0,0.4,0.0,84.0,0.0,1.13,1.0,1.0,0.0,6.0,5.0,5.75,5.0,3.05,42.0,2.0,29.0,36.0,1.0,12.0,20.64,50.1,-2.0,20.64,0.0,5.71,13.85,18.0,10.36,25.93,65.4,0.0,0.0,99.82,9.08,0.0,2023-05-04,2023-04-16,1992-11-15,2022-12-30,2022-12-30
2,Emerson Electric Co. ,EMR,48.25,56.37,17.89,20.7,3.92,2.52,4.5,2.84,11.41,1.39,-10.0,-7.0,99.65,72.41,84.88,86.56,0.0,0.0,0.57,0.0,0.57,0.0,78.0,0.01,1.91,1.0,1.0,0.01,2.08,2.0,2.07,2.0,2.64,44.0,2.0,24.0,18.0,7.0,21.0,19.85,33.63,7.0,8.19,4.65,2.81,4.72,160.0,2.27,3.97,10.39,62.15,1.1,18.77,2.82,3.42,2023-03-09,2023-02-15,2006-12-11,2022-09-29,2022-12-30
3,"Motorola Solutions, Inc. ",MSI,47.48,52.7,35.75,25.0,2.14,5.35,409.28,5.78,24.01,0.93,23.0,-7.0,287.42,195.18,268.8,250.26,0.0,0.0,0.17,0.0,0.17,0.0,87.0,0.0,1.78,1.0,1.0,0.0,3.52,1.0,3.25,1.0,1.45,41.0,0.25,15.0,23.0,10.0,2531.0,9.11,54.4,17.0,4.39,2.5,1.36,7.94,47.0,1.32,7.92,6.55,5000.76,1.15,0.69,1.82,1.61,2023-04-13,2023-03-13,2011-01-03,2022-12-30,2022-12-30
4,Occidental Petroleum Corporation ,OXY,57.81,87.35,5.19,10.17,0.0,1.76,2.84,2.38,3.96,1.79,9.0,-7.0,77.13,51.53,61.53,64.64,0.01,0.01,0.9,0.0,0.9,0.0,82.0,0.05,2.86,10.0,5.0,0.05,0.72,1.0,0.52,1.0,5.19,4.0,1.0,36.0,37.0,12.0,53.0,36.63,39.55,4.0,24.57,20.59,12.42,12.31,25.0,0.98,1.09,20.76,69.02,1.15,22.58,16.81,10.01,2023-04-16,2023-03-08,2016-02-24,2022-12-30,2022-12-30
5,Norfolk Southern Corporation ,NSC,46.85,61.99,14.83,15.02,2.65,3.8,3.68,4.86,10.26,1.3,-22.0,-7.0,276.65,196.33,220.32,234.92,0.0,0.0,0.23,0.0,0.23,0.0,77.0,0.0,1.12,1.0,1.0,0.0,5.4,3.0,4.96,2.0,1.79,36.0,3.0,26.0,39.0,8.0,25.0,12.74,54.28,14.0,6.16,6.16,3.27,13.87,4.0,0.46,2.0,16.13,126.65,0.76,55.83,4.22,1.72,2023-02-20,2023-02-01,1997-10-09,2022-12-30,2022-12-30
6,"Roper Technologies, Inc. ",ROP,46.61,52.53,47.53,27.25,2.03,8.72,2.91,9.78,24.72,1.03,-4.0,-7.0,487.47,356.22,429.48,417.22,0.0,0.0,0.11,0.0,0.11,0.0,97.0,0.0,1.37,1.0,1.0,0.0,2.73,1.0,2.54,1.0,0.53,28.0,2.0,85.0,28.0,4.0,7.0,5.37,50.72,14.0,3.75,2.17,0.99,9.25,570.0,0.79,7.46,6.87,42.85,0.67,151.16,0.73,2.34,2023-04-20,2023-04-04,2005-08-28,2022-12-30,2022-12-30
7,"Chipotle Mexican Grill, Inc. ",CMG,47.33,50.16,53.5,40.32,1.71,5.57,19.99,5.81,34.16,1.3,6.0,-7.0,1754.56,1196.28,1614.15,1539.35,0.0,0.0,0.03,0.0,0.03,1.0,95.0,0.0,2.99,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,11.0,39.0,8.63,310.03,11.0,3.37,1.47,0.9,31.71,68.0,0.9,32.55,3.73,157.57,1.27,85.71,1.32,0.7,,,,2022-12-30,2022-12-30
8,Moody's Corporation ,MCO,54.86,60.86,40.23,31.65,2.07,10.11,21.78,11.13,26.04,1.29,-9.0,-7.0,339.28,230.16,300.39,288.77,0.0,0.0,0.18,0.0,0.17,0.0,94.0,0.0,2.88,1.0,1.0,0.0,3.08,1.0,2.8,1.0,0.87,38.0,2.0,25.0,37.0,9.0,49.0,5.47,29.73,-16.0,3.85,2.34,1.37,7.45,-42.0,1.86,10.15,8.1,301.3,1.72,13.75,1.47,1.09,2023-03-16,2023-02-22,2005-05-18,2022-12-30,2022-12-30
9,Amphenol Corporation ,APH,46.55,49.69,25.56,25.91,4.53,3.85,6.64,3.94,16.63,1.25,11.0,-7.0,82.86,61.67,79.0,75.62,0.0,0.0,0.59,0.0,0.59,1.0,98.0,0.01,2.16,1.0,1.0,0.0,0.84,1.0,0.81,1.0,0.97,26.0,2.0,15.0,21.0,11.0,28.0,12.62,21.17,7.0,4.03,3.0,1.9,3.06,9.0,1.43,2.41,4.87,68.67,2.42,11.8,2.17,1.53,2023-04-11,2023-03-19,2021-03-04,2022-12-30,2022-12-30
10,Kimberly-Clark Corporation ,KMB,45.89,54.01,23.77,23.04,2.73,2.28,83.89,2.68,16.0,0.41,8.0,-7.0,144.53,108.74,128.93,129.33,0.0,0.0,0.34,0.0,0.34,0.0,78.0,0.01,5.14,2.0,2.0,0.01,4.72,3.0,4.64,3.0,3.31,81.0,1.04,10.0,13.0,9.0,273.0,20.17,59.79,-0.0,6.22,3.38,1.93,5.73,42.0,0.43,1.26,9.18,1312.0,0.78,1.62,2.73,1.66,2023-04-03,2023-03-08,2014-11-02,2022-12-30,2022-12-30
11,Archer-Daniels-Midland Company ,ADM,44.48,53.73,10.56,12.06,0.0,0.45,1.83,0.53,8.07,0.79,-16.0,-7.0,98.88,70.02,79.89,85.08,0.0,0.0,0.55,0.0,0.54,1.0,83.0,0.01,2.15,1.0,1.0,0.01,1.8,2.0,1.6,2.0,2.7,21.0,1.05,4.0,4.0,5.0,18.0,101.56,180.71,12.0,7.57,5.27,4.34,7.71,30.0,1.15,2.09,10.29,41.79,1.46,44.39,3.48,1.22,2021-09-07,2023-02-07,2001-08-29,2022-12-30,2022-12-30
12,"DexCom, Inc. ",DXCM,44.59,44.28,140.29,113.64,4.26,16.9,20.92,15.22,78.33,1.09,-7.0,-7.0,125.94,66.89,113.48,101.89,0.0,0.0,0.39,0.0,0.38,0.0,101.0,0.01,4.86,4.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,13.0,5.0,16.0,2.91,7.47,17.0,1.88,0.53,0.34,0.82,0.0,2.46,6.36,2.15,100.82,2.0,5.52,0.67,0.23,,,2022-06-12,2022-12-30,2022-12-30
13,"Corteva, Inc. ",CTVA,43.42,41.41,36.7,21.74,1.59,2.53,1.72,2.37,15.18,0.8,1.0,-7.0,68.43,50.03,60.74,60.73,0.0,0.0,0.71,0.0,0.71,0.0,83.0,0.01,1.67,1.0,1.0,0.01,0.6,1.0,0.59,1.0,0.0,35.0,0.0,7.0,12.0,3.0,5.0,17.45,24.22,10.0,7.03,3.32,1.2,1.66,0.0,3.32,4.65,1.76,6.88,1.56,35.47,0.87,0.64,2023-03-14,2023-02-27,,2022-12-30,2022-12-30
14,NXP Semiconductors N.V. ,NXPI,44.21,51.53,16.13,13.66,1.83,3.4,5.94,3.9,10.22,1.53,0.0,-7.0,198.28,132.08,181.27,167.94,0.0,0.0,0.26,0.0,0.26,0.0,95.0,0.01,3.05,2.0,2.0,0.01,4.06,2.0,3.38,2.0,0.0,32.0,0.0,21.0,29.0,11.0,39.0,13.21,50.42,9.0,7.51,5.02,2.79,10.45,20.0,3.84,14.82,11.44,147.84,2.12,28.71,3.9,2.62,2023-04-04,2023-03-13,,2022-12-30,2022-12-30
15,Truist Financial Corporation ,TFC,44.76,0.0,7.61,6.82,1.39,1.96,0.83,0.0,0.0,1.1,-36.0,-7.0,53.63,28.7,40.88,44.86,0.01,0.01,1.33,0.0,1.32,0.0,75.0,0.02,1.38,1.0,1.0,0.01,2.08,6.0,2.0,6.0,3.52,45.0,2.0,28.0,40.0,1.0,10.0,22.26,16.76,1.0,22.26,0.0,5.93,4.43,5.0,30.19,22.74,71.14,0.0,0.0,40.58,11.08,0.0,2023-02-28,2023-02-08,1998-08-03,2022-12-30,2022-12-30
16,"Fortinet, Inc. ",FTNT,52.53,51.31,63.21,47.85,2.75,12.21,0.0,11.62,47.61,1.14,1.0,-7.0,71.52,42.61,60.91,54.84,0.01,0.0,0.78,0.0,0.66,19.0,71.0,0.01,3.24,2.0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,22.0,10.0,332.0,4.42,5.58,33.0,3.33,1.07,0.86,1.08,58.0,2.21,2.82,1.09,0.0,1.24,-0.36,1.73,1.06,,,2022-06-22,2022-12-30,2022-12-30
17,Microchip Technology Incorporated ,MCHP,44.12,50.46,21.77,12.27,1.24,5.6,6.99,6.27,13.14,1.57,21.0,-7.0,87.76,54.33,81.93,71.43,0.0,0.0,0.55,0.0,0.54,2.0,93.0,0.02,4.05,4.0,4.0,0.02,1.43,2.0,1.16,1.0,1.46,31.0,2.0,26.0,35.0,11.0,34.0,8.05,14.57,23.0,4.45,3.87,2.07,3.76,64.0,0.29,0.53,6.62,104.92,1.76,11.52,3.66,2.12,2023-03-06,2023-02-16,2021-10-12,2022-03-30,2022-12-30
18,"Marriott International, Inc. ",MAR,50.62,61.21,22.64,21.23,1.15,2.57,89.12,2.95,16.11,1.59,-11.0,-7.0,195.9,131.01,168.08,157.49,0.0,0.0,0.31,0.0,0.25,19.0,62.0,0.0,2.52,2.0,2.0,0.0,1.6,1.0,1.0,1.0,0.0,14.0,1.06,44.0,65.0,9.0,238.0,5.36,16.51,40.0,4.28,3.76,2.36,7.23,44.0,0.51,1.64,11.2,1972.54,0.45,1.83,2.36,2.59,2023-03-30,2023-02-22,2011-11-21,2022-12-30,2022-12-30
19,Exelon Corporation ,EXC,43.01,82.66,20.8,18.32,9.96,2.24,1.74,4.33,11.2,0.59,-12.0,-7.0,50.71,35.19,41.44,41.9,0.01,0.01,0.99,0.0,0.99,0.0,85.0,0.01,1.65,1.0,1.0,0.01,1.44,3.0,1.35,3.0,3.3,65.0,1.4,11.0,18.0,2.0,7.0,19.08,19.35,-52.0,8.11,6.28,2.05,2.08,10.0,0.41,0.41,40.36,163.09,0.69,24.89,4.87,-2.43,2023-03-09,2023-02-23,2022-02-01,2022-12-30,2022-12-30
20,MSCI Inc. ,MSCI,42.41,46.06,49.41,40.98,3.07,19.13,0.0,20.48,33.92,1.13,10.0,-7.0,572.5,376.41,542.25,484.24,0.0,0.0,0.08,0.0,0.08,3.0,93.0,0.0,1.4,1.0,1.0,0.0,5.52,1.0,4.58,1.0,0.87,43.0,0.0,39.0,54.0,14.0,0.0,2.25,27.85,5.0,1.84,1.3,0.87,10.72,11.0,0.99,12.43,4.67,0.0,1.4,-12.6,1.1,0.72,2023-02-27,2023-02-15,,2022-12-30,2022-12-30
21,Arthur J. Gallagher & Co. ,AJG,42.13,48.2,37.92,22.52,0.0,4.95,4.61,5.65,21.39,0.7,10.0,-7.0,202.37,148.24,189.16,184.66,0.0,0.0,0.21,0.0,0.21,1.0,86.0,0.0,1.96,1.0,1.0,0.0,2.2,1.0,2.04,1.0,1.62,39.0,2.0,13.0,22.0,3.0,13.0,8.27,39.33,1.0,3.64,2.43,1.11,5.18,24.0,0.34,1.61,6.5,70.7,1.04,43.15,2.13,1.29,2023-03-16,2023-03-01,2001-01-18,2022-12-30,2022-12-30
22,"Autodesk, Inc. ",ADSK,42.48,43.07,52.32,27.25,1.15,8.61,37.1,8.61,36.91,1.51,-2.0,-7.0,235.01,163.2,207.64,202.24,0.0,0.0,0.21,0.0,0.21,0.0,95.0,0.0,1.43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,7.0,83.0,5.01,23.17,9.0,4.58,1.09,0.82,3.77,229.0,2.07,9.65,2.67,232.84,0.83,5.33,2.07,1.43,,2005-03-21,2004-12-20,2023-01-30,2023-01-30
23,Parker-Hannifin Corporation ,PH,40.79,54.03,32.78,14.58,1.72,2.41,4.38,3.14,20.49,1.51,18.0,-7.0,364.57,230.44,338.07,295.61,0.0,0.0,0.13,0.0,0.13,0.0,85.0,0.0,1.54,1.0,1.0,0.0,5.32,2.0,5.02,2.0,1.63,52.0,1.5,7.0,17.0,7.0,14.0,17.18,133.79,22.0,4.48,3.66,1.26,9.51,2.0,0.78,6.06,14.02,150.2,1.28,72.68,2.51,3.77,2023-03-02,2023-02-08,2007-10-01,2022-06-29,2022-12-30
24,Biogen Inc. ,BIIB,41.29,43.01,13.69,18.45,3.28,4.1,3.08,4.23,9.87,0.19,34.0,-7.0,311.88,187.16,274.73,256.71,0.0,0.0,0.14,0.0,0.14,1.0,90.0,0.0,2.07,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,30.0,8.0,24.0,10.17,70.02,-7.0,7.9,3.53,3.05,20.59,50.0,4.89,33.86,6.71,50.13,2.99,92.98,1.38,1.39,,,2001-01-17,2022-12-30,2022-12-30
25,"Agilent Technologies, Inc. ",A,40.96,42.68,31.2,24.27,2.71,5.97,7.3,6.16,21.5,1.05,9.0,-7.0,160.26,112.52,142.06,138.6,0.0,0.0,0.3,0.0,0.29,0.0,91.0,0.0,2.8,2.0,2.0,0.0,0.9,1.0,0.86,1.0,0.71,19.0,1.4,19.0,25.0,10.0,25.0,6.93,23.27,5.0,3.72,2.02,1.32,4.44,24.0,1.25,4.23,3.13,55.8,2.11,18.96,1.35,0.76,2023-04-25,2023-04-02,2014-11-02,2022-10-30,2023-01-30
26,Ecolab Inc. ,ECL,47.01,55.44,43.34,33.22,2.21,3.34,6.5,3.91,21.88,0.98,-7.0,-7.0,185.5,131.04,158.91,155.39,0.0,0.0,0.28,0.0,0.25,0.0,89.0,0.0,1.58,1.0,1.0,0.0,2.12,1.0,2.06,1.0,1.04,54.0,2.0,8.0,13.0,5.0,15.0,14.19,49.75,9.0,5.43,2.79,1.09,3.82,-12.0,0.6,2.1,9.03,124.36,1.3,25.43,1.79,1.31,2023-04-16,2023-03-19,2003-06-08,2022-12-30,2022-12-30
27,Hess Corporation ,HES,44.46,51.12,21.39,21.37,3.89,3.96,5.66,4.51,8.9,1.56,27.0,-7.0,160.52,90.34,135.86,129.07,0.0,0.0,0.31,0.0,0.28,10.0,86.0,0.01,2.59,2.0,2.0,0.0,1.75,1.0,1.5,1.0,1.56,22.0,3.0,19.0,35.0,12.0,32.0,11.22,36.4,29.0,7.89,5.66,2.1,6.77,88.0,2.49,8.15,9.15,107.7,1.64,25.77,3.94,1.14,2023-03-29,2023-03-09,2006-05-31,2022-12-30,2022-12-30
28,Trane Technologies plc ,TT,39.18,42.8,22.59,20.37,2.07,2.51,6.44,2.68,15.74,1.19,18.0,-7.0,196.22,120.64,182.68,164.77,0.0,0.0,0.23,0.0,0.23,0.0,86.0,0.0,1.77,1.0,1.0,0.0,3.0,2.0,2.68,2.0,1.67,35.0,1.29,11.0,15.0,8.0,29.0,15.99,68.75,14.0,4.96,2.66,1.78,7.57,38.0,1.22,5.33,5.31,86.9,1.12,26.61,1.5,0.8,2023-06-29,2023-05-31,2020-03-01,2022-12-30,2022-12-30
29,"The Travelers Companies, Inc. ",TRV,40.09,46.58,14.75,11.72,1.43,1.13,1.86,1.26,0.0,0.63,-6.0,-7.0,194.51,149.65,177.72,174.42,0.0,0.0,0.23,0.0,0.23,0.0,85.0,0.0,1.84,1.0,1.0,0.0,3.72,2.0,3.67,2.0,2.33,31.0,2.0,8.0,10.0,2.0,11.0,36.88,155.63,7.0,8.52,4.53,2.82,11.75,-39.0,4.27,18.39,7.57,35.11,0.35,92.89,6.46,11.42,2023-03-30,2023-03-08,1998-05-11,2022-12-30,2022-12-30
30,Dow Inc. ,DOW,39.78,52.6,8.95,17.15,4.16,0.72,1.92,0.92,5.53,1.33,-13.0,-7.0,71.86,42.91,56.02,52.03,0.01,0.0,0.71,0.0,0.7,0.0,64.0,0.01,1.87,1.0,1.0,0.01,2.8,5.0,2.8,5.0,0.0,45.0,0.0,8.0,11.0,6.0,23.0,56.9,78.92,-17.0,8.56,8.74,4.56,6.36,-65.0,4.93,6.99,16.71,78.63,1.81,29.39,7.47,4.07,2023-03-09,2023-02-26,,2022-12-30,2022-12-30
31,"Arista Networks, Inc. ",ANET,48.9,45.92,37.38,27.78,1.67,11.53,10.01,10.48,28.89,1.24,28.0,-7.0,171.44,89.11,148.74,125.94,0.0,0.0,0.31,0.31,0.24,23.0,71.0,0.0,1.19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,35.0,15.0,31.0,4.38,14.3,55.0,2.68,1.59,1.35,4.23,78.0,3.02,9.87,0.06,1.31,4.29,15.92,0.49,0.26,,,2021-11-17,2022-12-30,2022-12-30
32,TE Connectivity Ltd. ,TEL,39.63,43.06,17.91,19.08,1.74,2.48,3.49,2.64,12.7,1.32,4.0,-7.0,138.24,104.76,128.08,123.18,0.0,0.0,0.32,0.0,0.32,0.0,95.0,0.0,2.8,2.0,2.0,0.0,2.36,2.0,2.18,2.0,1.81,31.0,0.0,14.0,18.0,8.0,20.0,16.3,50.87,1.0,5.24,3.65,2.26,7.0,-30.0,0.79,2.51,4.24,36.93,1.66,35.88,2.52,1.44,2024-02-29,2023-05-17,,2022-09-29,2022-12-29
33,Monster Beverage Corporation ,MNST,54.62,51.95,46.89,35.46,2.85,8.83,7.78,8.23,31.56,0.87,27.0,-7.0,54.52,40.87,51.67,48.67,0.0,0.0,1.04,0.0,0.75,28.0,68.0,0.01,2.29,3.0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,25.0,12.0,18.0,6.31,5.99,6.0,3.17,1.65,1.19,1.11,-6.0,2.67,2.56,0.04,0.54,4.76,6.72,0.89,0.45,,,2023-03-27,2022-12-30,2022-12-30
34,"MetLife, Inc. ",MET,46.55,65.28,20.66,7.29,0.29,0.71,1.72,0.93,0.0,1.08,-15.0,-7.0,77.36,52.83,64.74,67.26,0.01,0.0,0.77,0.0,0.65,16.0,76.0,0.01,1.63,2.0,1.0,0.01,2.0,3.0,1.98,3.0,3.54,68.0,1.12,4.0,5.0,0.0,5.0,69.9,87.02,-19.0,14.89,4.22,2.35,2.92,12.0,29.7,38.36,102.04,373.94,1.21,34.71,13.2,2.48,2023-03-13,2023-02-05,2017-08-06,2022-12-30,2022-12-30
35,Newmont Corporation ,NEM,39.5,41.87,44.33,17.18,0.79,3.32,2.04,3.51,17.73,0.32,-41.0,-7.0,86.37,37.45,47.17,47.06,0.01,0.01,0.79,0.0,0.79,0.0,82.0,0.02,2.02,3.0,2.0,0.01,1.6,3.0,2.05,4.0,2.35,0.0,1.25,-4.0,14.0,3.0,-2.0,11.91,15.01,-6.0,4.53,3.98,-0.46,-0.58,0.0,3.76,4.73,6.25,31.99,2.23,24.41,3.22,1.38,2023-03-22,2023-03-07,1994-04-21,2022-12-30,2022-12-30
36,Johnson Controls International plc ,JCI,39.42,47.66,31.52,16.16,1.06,1.56,2.46,1.87,19.55,1.25,-7.0,-7.0,69.6,45.52,61.89,59.05,0.0,0.0,0.69,0.0,0.69,0.0,93.0,0.01,1.61,1.0,1.0,0.01,1.44,3.0,1.4,2.0,2.42,77.0,0.95,5.0,9.0,3.0,8.0,25.5,36.87,4.0,8.34,3.17,1.27,1.8,-69.0,1.51,2.2,11.05,64.11,1.02,23.35,1.3,0.72,2023-04-13,2023-03-16,2016-09-05,2022-09-29,2022-12-30
37,Cintas Corporation ,CTAS,45.79,48.62,36.14,31.45,2.78,5.42,12.6,5.65,22.68,1.33,10.0,-7.0,470.23,343.86,442.55,427.0,0.0,0.0,0.1,0.0,0.09,15.0,67.0,0.0,4.01,1.0,1.0,0.0,4.4,1.0,4.4,1.0,1.0,35.0,1.5,15.0,20.0,13.0,37.0,8.61,84.55,12.0,3.63,2.03,1.29,12.47,3.0,0.09,0.87,2.92,80.29,2.1,35.74,1.59,1.09,2023-03-14,2023-02-13,2000-03-07,2022-05-30,2023-02-27
38,"IDEXX Laboratories, Inc. ",IDXX,39.21,40.56,58.84,54.35,5.32,11.87,64.41,12.05,40.09,1.18,-6.0,-8.0,517.91,317.06,483.13,411.46,0.0,0.0,0.08,0.0,0.08,1.0,93.0,0.0,4.13,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,27.0,22.0,105.0,3.37,40.27,3.0,2.0,1.01,0.68,8.11,6.0,0.11,1.36,1.47,241.49,0.89,7.34,0.54,0.33,,,2015-06-15,2022-12-30,2022-12-30
